starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 19:58:05 2014	1391745485	587	6077	6664	6077
Thu Feb 06 19:58:06 2014	1391745486	1808	4858	6666	4858
Thu Feb 06 19:59:08 2014	1391745548	315	6353	6668	6353
Thu Feb 06 19:58:01 2014	1391745481	467	6212	6679	6212
Thu Feb 06 19:59:04 2014	1391745544	457	6244	6701	6244
Thu Feb 06 19:58:37 2014	1391745517	524	6191	6715	6191
Thu Feb 06 19:58:13 2014	1391745493	407	6314	6721	6314
Thu Feb 06 19:58:14 2014	1391745494	448	6281	6729	6281
Thu Feb 06 19:58:39 2014	1391745519	392	6350	6742	277
Thu Feb 06 19:58:44 2014	1391745524	556	6186	6743	6186
Thu Feb 06 19:57:54 2014	1391745474	597	6154	6750	6154
Thu Feb 06 19:58:53 2014	1391745533	447	6315	6762	711
Thu Feb 06 19:57:59 2014	1391745479	1479	5283	6762	5279
Thu Feb 06 19:58:09 2014	1391745489	451	6315	6766	6315
Thu Feb 06 19:57:59 2014	1391745479	275	6492	6767	6492
Thu Feb 06 19:58:46 2014	1391745526	469	6316	6785	6316
Thu Feb 06 19:58:37 2014	1391745517	449	6339	6788	6339
Thu Feb 06 19:58:24 2014	1391745504	353	6444	6797	6444
Thu Feb 06 19:57:51 2014	1391745471	1505	5297	6802	5297
Thu Feb 06 19:58:05 2014	1391745485	443	6359	6802	301
Thu Feb 06 19:58:01 2014	1391745481	467	6337	6804	309
Thu Feb 06 19:57:50 2014	1391745470	600	6209	6809	6209
Thu Feb 06 19:57:50 2014	1391745470	601	6209	6810	6209
Thu Feb 06 19:57:47 2014	1391745467	1518	5292	6811	5292
Thu Feb 06 19:57:39 2014	1391745459	469	6364	6833	6364
Thu Feb 06 19:58:33 2014	1391745513	1671	5171	6842	5171
Thu Feb 06 19:58:09 2014	1391745489	453	6407	6860	6407
Thu Feb 06 19:58:09 2014	1391745489	457	6407	6864	6407
Thu Feb 06 19:58:17 2014	1391745497	571	6306	6877	6306
Thu Feb 06 19:58:09 2014	1391745489	450	6434	6884	6434
Thu Feb 06 19:58:44 2014	1391745524	574	6327	6901	6327
Thu Feb 06 19:58:45 2014	1391745525	1666	5271	6937	5271
Thu Feb 06 19:58:38 2014	1391745518	360	6577	6938	6577
Thu Feb 06 19:58:38 2014	1391745518	354	6584	6938	6584
Thu Feb 06 19:58:38 2014	1391745518	354	6591	6945	6591
Thu Feb 06 19:58:33 2014	1391745513	1673	5284	6957	5284
Thu Feb 06 19:58:36 2014	1391745516	1549	5411	6960	5411
Thu Feb 06 19:57:49 2014	1391745469	482	6495	6977	592
Thu Feb 06 19:58:57 2014	1391745537	460	6523	6984	6522
Thu Feb 06 19:57:40 2014	1391745460	461	6537	6998	6537
Thu Feb 06 19:57:40 2014	1391745460	450	6549	6999	6549
